question,opt1,opt2,opt3,label
"When faced with a challenge, what's your first instinct",1,0,0,1
How do you typically recharge after a long day,0,1,0,2
What's your preferred work environment,1,0,0,1
How do you handle tight deadlines,0,1,0,2
What excites you the most about new projects,0,0,1,3
How do you approach social gatherings,0,1,0,2
How do you handle interruptions during work,1,0,0,1
What motivates you to excel in your work,1,0,0,1
 How do you approach learning new skills,0,1,0,2
 How do you handle criticism or feedback,0,0,1,3
What's your preferred method of organization,0,0,1,3
How do you prioritize your tasks,1,0,0,1
 How do you unwind after a particularly stressful day,0,1,0,2
How do you handle unexpected changes in plans,1,0,0,1
How do you approach leadership roles,0,0,1,3
