question,opt1,opt2,opt3,label
 What area of commerce interests you the most,0,1,0,2
Which aspect of commerce appeals to you for further study,1,0,0,1
Where do you envision your career path in commerce,0,1,0,2
What area of commerce-related studies excites you the most,1,0,0,1
Which field within commerce aligns best with your career goals,0,1,0,2
What aspect of commerce do you find most intriguing,0,0,1,3
In which area of commerce do you see yourself excelling,0,1,0,2
What aspect of commerce are you most passionate about,1,0,0,1
Which area of commerce are you keen on exploring further,1,0,0,1
What aspect of commerce do you find most challenging yet rewarding,0,1,0,2
In which field of commerce do you believe you can make the most impact,0,0,1,3
Which area of commerce are you most interested in contributing to,0,0,1,3
What aspect of commerce do you find intellectually stimulating,1,0,0,1
 Which area of commerce aligns best with your skill set,0,1,0,2
What aspect of commerce are you most enthusiastic about exploring in-depth,1,0,0,1
,0,0,1,3
